global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc,date
14353,87.0,2025-11-23 03:29:42,14353,"两阳中学,  (阳江市两阳中学)",https://aqicn.org/city/guangdong/yangjiangshi/liangyangzhongxue,21.893,111.977,74,pm25,74.0,51.0,39.8,7.8,5.1,3.7,22.3,45.9,1010.7,3.0,10.1,99.5,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:39:13,2025-11-23
14356,85.0,2025-11-23 03:29:42,14356,"龙川细坳,  (河源市龙川细坳)",https://aqicn.org/city/guangdong/heyuanshi/longchuanxiao,23.6442,112.7434,89,pm25,89.0,45.0,33.3,2.3,5.6,3.7,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:39:05,2025-11-23
14357,59.0,2025-11-23 03:29:42,14357,"四会威整,  (肇庆市四会威整)",https://aqicn.org/city/guangdong/zhaoqingshi/sihuiweizheng,24.6969,115.1909,61,pm25,61.0,38.0,26.0,9.6,3.6,2.8,19.1,47.9,987.0,1.0,7.8,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:25,2025-11-23
14358,76.0,2025-11-23 03:29:42,14358,"云安都杨,  (云浮市云安都杨)",https://aqicn.org/city/guangdong/yunfushi/yunanduyang,23.044739,112.159956,76,pm25,76.0,57.0,10.6,17.0,2.1,6.4,20.2,57.7,1015.5,1.0,11.6,99.6,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:37,2025-11-23
14360,142.0,2025-11-23 03:29:42,14360,"沙湖,  (江门市沙湖)",https://aqicn.org/city/guangdong/jiangmenshi/shahu,22.3517,112.4686,129,pm25,129.0,59.0,25.6,15.1,13.7,6.4,20.4,59.7,1018.2,8.0,12.3,99.0,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:39:02,2025-11-23
14402,102.0,2025-11-23 03:29:42,14361,"Jiangdong,  (河源市江东)",https://aqicn.org/city/guangdong/heyuanshi/jiangdong,23.7506,114.7389,85,pm25,85.0,41.0,36.2,5.1,8.2,6.4,19.9,49.8,1008.9,1.0,9.1,99.1,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:41,2025-11-23
14369,109.0,2025-11-23 03:29:42,14369,"白云石井,  (广州市白云石井)",https://aqicn.org/city/guangdong/guangzhoushi/baiyunshijing,23.2264,113.2383,102,pm25,102.0,52.0,23.2,26.1,5.6,6.4,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:52,2025-11-23
14384,87.0,2025-11-23 03:29:42,14384,"高明更合,  (佛山市高明更合)",https://aqicn.org/city/guangdong/fushanshi/gaominggenghe,22.8051,112.5151,91,pm25,91.0,75.0,17.5,17.4,13.2,8.2,20.2,57.7,1015.5,1.0,11.6,99.6,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:20,2025-11-23
14385,154.0,2025-11-23 03:29:42,14385,"高明水厂,  (佛山市高明水厂)",https://aqicn.org/city/guangdong/fushanshi/gaomingshuichang,22.9131,112.8963,154,pm25,154.0,55.0,24.4,15.1,10.2,7.3,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:54,2025-11-23
14399,117.0,2025-11-23 03:29:42,14399,"高明富湾,  (佛山市高明富湾)",https://aqicn.org/city/guangdong/fushanshi/gaomingfuwan,23.0015,112.8441,124,pm25,124.0,64.0,22.8,21.1,11.2,8.2,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:21,2025-11-23
