station_idx,station_name,lat,lon,station_time,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,aqi_next1h,aqi_lag1,aqi_lag3,pm25_lag1,pm10_lag1,t_lag1,h_lag1
921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",22.528186,114.496906,2025-11-23 11:00:00,97,97.0,44.0,58.4,6.0,5.1,5.5,23.8,67.0,1019.1,1.0,85.0,97.0,,97.0,44.0,22.8,69.8
921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",22.528186,114.496906,2025-11-23 12:00:00,85,85.0,36.0,58.4,5.5,4.6,5.5,24.0,66.7,1019.0,0.2,85.0,97.0,,97.0,44.0,23.8,67.0
921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",22.528186,114.496906,2025-11-23 12:00:00,85,85.0,36.0,58.4,5.5,4.6,5.5,24.0,66.7,1019.0,0.2,85.0,85.0,97.0,85.0,36.0,24.0,66.7
921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",22.528186,114.496906,2025-11-23 12:00:00,85,85.0,36.0,57.1,5.5,4.6,5.5,24.1,66.2,1018.8,0.2,85.0,85.0,97.0,85.0,36.0,24.0,66.7
921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",22.528186,114.496906,2025-11-23 12:00:00,85,85.0,36.0,57.1,5.5,4.6,5.5,24.1,66.2,1018.8,0.2,114.0,85.0,85.0,85.0,36.0,24.1,66.2
1302,"Gulangyu, Xiamen (厦门鼓浪屿)",24.445833333,118.06361111,2025-11-23 11:00:00,97,97.0,50.0,30.1,14.2,3.6,4.6,23.0,53.0,1021.0,1.5,91.0,97.0,,97.0,50.0,23.0,53.0
1302,"Gulangyu, Xiamen (厦门鼓浪屿)",24.445833333,118.06361111,2025-11-23 12:00:00,91,91.0,46.0,37.0,14.7,2.6,4.6,24.0,53.0,1020.0,1.5,91.0,97.0,,97.0,50.0,23.0,53.0
1302,"Gulangyu, Xiamen (厦门鼓浪屿)",24.445833333,118.06361111,2025-11-23 12:00:00,91,91.0,46.0,37.0,14.7,2.6,4.6,24.0,53.0,1020.0,1.5,91.0,91.0,97.0,91.0,46.0,24.0,53.0
1302,"Gulangyu, Xiamen (厦门鼓浪屿)",24.445833333,118.06361111,2025-11-23 12:00:00,91,91.0,46.0,37.0,14.7,2.6,4.6,24.0,53.0,1020.0,1.5,91.0,91.0,97.0,91.0,46.0,24.0,53.0
1302,"Gulangyu, Xiamen (厦门鼓浪屿)",24.445833333,118.06361111,2025-11-23 12:00:00,91,91.0,46.0,37.0,14.7,2.6,4.6,24.0,53.0,1020.0,1.5,72.0,91.0,91.0,91.0,46.0,24.0,53.0
1335,"Daziran Garden, Nanning (南宁大自然花园)",22.805,108.383,2025-11-23 11:00:00,109,109.0,52.0,28.5,15.1,5.1,4.6,22.0,46.0,1023.0,1.5,102.0,109.0,,109.0,52.0,22.0,46.0
1335,"Daziran Garden, Nanning (南宁大自然花园)",22.805,108.383,2025-11-23 12:00:00,102,102.0,45.0,38.2,10.1,4.1,3.7,23.0,43.0,1022.0,1.5,102.0,109.0,,109.0,52.0,22.0,46.0
1335,"Daziran Garden, Nanning (南宁大自然花园)",22.805,108.383,2025-11-23 12:00:00,102,102.0,45.0,38.2,10.1,4.1,3.7,23.0,43.0,1022.0,1.5,102.0,102.0,109.0,102.0,45.0,23.0,43.0
1335,"Daziran Garden, Nanning (南宁大自然花园)",22.805,108.383,2025-11-23 12:00:00,102,102.0,45.0,38.2,10.1,4.1,3.7,23.0,43.0,1022.0,1.5,102.0,102.0,109.0,102.0,45.0,23.0,43.0
1335,"Daziran Garden, Nanning (南宁大自然花园)",22.805,108.383,2025-11-23 12:00:00,102,102.0,45.0,38.2,10.1,4.1,3.7,23.0,43.0,1022.0,1.5,99.0,102.0,102.0,102.0,45.0,23.0,43.0
1337,"District Agricultural Vocational College, Nanning (南宁区农职院)",22.8464,108.239,2025-11-23 11:00:00,107,107.0,50.0,28.1,10.1,13.2,7.3,22.0,46.0,1023.0,1.5,91.0,107.0,,107.0,50.0,22.0,46.0
1337,"District Agricultural Vocational College, Nanning (南宁区农职院)",22.8464,108.239,2025-11-23 12:00:00,91,91.0,45.0,39.8,7.4,7.6,6.4,23.0,43.0,1022.0,1.5,91.0,107.0,,107.0,50.0,22.0,46.0
1337,"District Agricultural Vocational College, Nanning (南宁区农职院)",22.8464,108.239,2025-11-23 12:00:00,91,91.0,45.0,39.8,7.4,7.6,6.4,23.0,43.0,1022.0,1.5,91.0,91.0,107.0,91.0,45.0,23.0,43.0
1337,"District Agricultural Vocational College, Nanning (南宁区农职院)",22.8464,108.239,2025-11-23 12:00:00,91,91.0,45.0,39.8,7.4,7.6,6.4,23.0,43.0,1022.0,1.5,91.0,91.0,107.0,91.0,45.0,23.0,43.0
1342,"Xiuying Hainan Hospital, Haikou (海口秀英海南医院)",20.0053,110.283,2025-11-23 11:00:00,87,87.0,49.0,49.2,7.4,5.1,3.7,24.0,60.0,1020.0,5.6,85.0,87.0,,87.0,49.0,24.0,60.0
