uid,lat,lon,aqi,tile_lat1,tile_lon1,tile_lat2,tile_lon2,snapshot_utc
12573,-22.43904379,-47.581473311,91.0,-40,-60,-20,-40,2025-11-23 03:29:42
8398,-34.6344961,-58.3631337,,-40,-60,-20,-40,2025-11-23 03:29:42
8399,-34.635582,-58.5518647,,-40,-60,-20,-40,2025-11-23 03:29:42
8400,-34.5995674,-58.3915767,,-40,-60,-20,-40,2025-11-23 03:29:42
340,-23.831589008,-46.369568791,34.0,-40,-60,-20,-40,2025-11-23 03:29:42
342,-23.685876412,-46.611621932,74.0,-40,-60,-20,-40,2025-11-23 03:29:42
12508,-22.801917139,-45.19112236,10.0,-40,-60,-20,-40,2025-11-23 03:29:42
334,-23.668356146,-46.780043384,99.0,-40,-60,-20,-40,2025-11-23 03:29:42
351,-23.192003743,-46.897097273,53.0,-40,-60,-20,-40,2025-11-23 03:29:42
336,-21.141942758,-48.983075271,28.0,-40,-60,-20,-40,2025-11-23 03:29:42
14045,-23.805225613,-45.400052495,53.0,-40,-60,-20,-40,2025-11-23 03:29:42
8514,-23.18788733,-45.871197623,28.0,-40,-60,-20,-40,2025-11-23 03:29:42
360,-22.772321379,-47.154842866,17.0,-40,-60,-20,-40,2025-11-23 03:29:42
378,-23.360751538,-47.870799066,22.0,-40,-60,-20,-40,2025-11-23 03:29:42
331,-21.782522146,-48.185831813,31.0,-40,-60,-20,-40,2025-11-23 03:29:42
364,-22.119936735,-51.408777068,72.0,-40,-60,-20,-40,2025-11-23 03:29:42
12721,-20.34201,-40.40218,,-40,-60,-20,-40,2025-11-23 03:29:42
371,-23.963057204,-46.321170094,37.0,-40,-60,-20,-40,2025-11-23 03:29:42
365,-21.177065942,-47.818987671,30.0,-40,-60,-20,-40,2025-11-23 03:29:42
14067,-33.927546,18.482759,23.0,-40,0,-20,20,2025-11-23 03:29:42
11409,-33.819667,18.514333,20.0,-40,0,-20,20,2025-11-23 03:29:42
14070,-33.857194,18.725778,13.0,-40,0,-20,20,2025-11-23 03:29:42
14072,-33.9155,18.643556,30.0,-40,0,-20,20,2025-11-23 03:29:42
14059,-34.213,19.213,13.0,-40,0,-20,20,2025-11-23 03:29:42
11576,-33.627489,19.468318,40.0,-40,0,-20,20,2025-11-23 03:29:42
14068,-32.98312,17.98497,25.0,-40,0,-20,20,2025-11-23 03:29:42
14052,-26.097418,29.450599,,-40,20,-20,40,2025-11-23 03:29:42
11672,-25.921853,28.018873,38.0,-40,20,-20,40,2025-11-23 03:29:42
14050,-26.764724,28.480081,,-40,20,-20,40,2025-11-23 03:29:42
14054,-26.138269,29.7389005,50.0,-40,20,-20,40,2025-11-23 03:29:42
12568,-26.551427,29.112381,51.0,-40,20,-20,40,2025-11-23 03:29:42
13280,-25.716444,28.336667,53.0,-40,20,-20,40,2025-11-23 03:29:42
14058,-26.68674,28.008496,20.0,-40,20,-20,40,2025-11-23 03:29:42
14066,-25.483507788469588,27.167539254241067,,-40,20,-20,40,2025-11-23 03:29:42
14074,-34.179158,22.097439,9.0,-40,20,-20,40,2025-11-23 03:29:42
10781,-33.763778,25.683428,29.0,-40,20,-20,40,2025-11-23 03:29:42
12548,-29.637583,30.337389,53.0,-40,20,-20,40,2025-11-23 03:29:42
14858,-25.625702,27.851825,19.0,-40,20,-20,40,2025-11-23 03:29:42
14053,-26.251223,29.256391,,-40,20,-20,40,2025-11-23 03:29:42
13282,-25.992923,28.203952,53.0,-40,20,-20,40,2025-11-23 03:29:42
14046,-26.891813,29.307828,27.0,-40,20,-20,40,2025-11-23 03:29:42
10756,-25.796056,29.462823,,-40,20,-20,40,2025-11-23 03:29:42
14939,-24.974809,27.165559,8.0,-40,20,-20,40,2025-11-23 03:29:42
14047,-27.112752,29.800233,50.0,-40,20,-20,40,2025-11-23 03:29:42
14062,-26.086232,30.110653,61.0,-40,20,-20,40,2025-11-23 03:29:42
14051,-26.107896,28.974458,50.0,-40,20,-20,40,2025-11-23 03:29:42
14061,-25.97255,29.313231,45.0,-40,20,-20,40,2025-11-23 03:29:42
11716,-24.731501,30.134383,,-40,20,-20,40,2025-11-23 03:29:42
14056,-23.738521,27.540346,93.0,-40,20,-20,40,2025-11-23 03:29:42
11834,-29.858283,31.027286,16.0,-40,20,-20,40,2025-11-23 03:29:42
13275,-28.865283,31.911679,21.0,-40,20,-20,40,2025-11-23 03:29:42
12416,-26.523518,29.189015,51.0,-40,20,-20,40,2025-11-23 03:29:42
11578,-25.38512,28.254542,7.0,-40,20,-20,40,2025-11-23 03:29:42
12578,-23.884413,29.405415,999.0,-40,20,-20,40,2025-11-23 03:29:42
10776,-26.688504,27.816736,72.0,-40,20,-20,40,2025-11-23 03:29:42
11713,-25.835814,25.614534,8.0,-40,20,-20,40,2025-11-23 03:29:42
10784,-26.252611,27.872139,39.0,-40,20,-20,40,2025-11-23 03:29:42
14932,-33.789662,25.618592,29.0,-40,20,-20,40,2025-11-23 03:29:42
14073,-26.741956,29.608826,59.0,-40,20,-20,40,2025-11-23 03:29:42
11833,-26.479639,27.867111,50.0,-40,20,-20,40,2025-11-23 03:29:42
14055,-23.656028,27.627997,57.0,-40,20,-20,40,2025-11-23 03:29:42
13834,-30.20803,30.78202,218.0,-40,20,-20,40,2025-11-23 03:29:42
11785,-26.245481,29.417328,20.0,-40,20,-20,40,2025-11-23 03:29:42
11837,-29.934094,30.988622,82.0,-40,20,-20,40,2025-11-23 03:29:42
14060,-29.5574194444444,31.1200638888889,25.0,-40,20,-20,40,2025-11-23 03:29:42
8760,-21.223063888889,55.302513888889,1.0,-40,40,-20,60,2025-11-23 03:29:42
8759,-20.889833333333,55.469111111111,17.0,-40,40,-20,60,2025-11-23 03:29:42
8622,-21.022111111111,55.266775,,-40,40,-20,60,2025-11-23 03:29:42
5033,-21.334444444445,55.458888888889,5.0,-40,40,-20,60,2025-11-23 03:29:42
5036,-21.294333333334,55.627916666667,23.0,-40,40,-20,60,2025-11-23 03:29:42
6434,-31.8341204,115.7835905,7.0,-40,100,-20,120,2025-11-23 03:29:42
6435,-32.1109198,115.838042,7.0,-40,100,-20,120,2025-11-23 03:29:42
6438,-33.3270685,115.6391736,5.0,-40,100,-20,120,2025-11-23 03:29:42
6439,-33.6499446,115.3446115,7.0,-40,100,-20,120,2025-11-23 03:29:42
6436,-28.7732192,114.6096326,7.0,-40,100,-20,120,2025-11-23 03:29:42
6440,-35.0238227,117.8847286,5.0,-40,100,-20,120,2025-11-23 03:29:42
6433,-31.8757651,115.9660496,8.0,-40,100,-20,120,2025-11-23 03:29:42
6441,-33.3588705,116.1540412,1.0,-40,100,-20,120,2025-11-23 03:29:42
12491,-32.5361,115.7424,16.0,-40,100,-20,120,2025-11-23 03:29:42
5132,-20.7264,139.4977,56.0,-40,120,-20,140,2025-11-23 03:29:42
10147,-30.749,121.466,3.0,-40,120,-20,140,2025-11-23 03:29:42
13776,-32.125777,150.459299,28.0,-40,140,-20,160,2025-11-23 03:29:42
10719,-32.2196,148.5777,7.0,-40,140,-20,160,2025-11-23 03:29:42
12399,-23.5627,148.8807,40.0,-40,140,-20,160,2025-11-23 03:29:42
12490,-35.418302,149.094018,,-40,140,-20,160,2025-11-23 03:29:42
3254,-33.61644,150.7473,24.0,-40,140,-20,160,2025-11-23 03:29:42
3270,-33.27896,151.4324,21.0,-40,140,-20,160,2025-11-23 03:29:42
5121,-24.0,151.0,27.0,-40,140,-20,160,2025-11-23 03:29:42
3247,-38.17356,144.3703,21.0,-40,140,-20,160,2025-11-23 03:29:42
5113,-26.6917,153.1038,20.0,-40,140,-20,160,2025-11-23 03:29:42
14876,-25.5159,152.6894,8.0,-40,140,-20,160,2025-11-23 03:29:42
12685,-38.15588,146.7842,15.0,-40,140,-20,160,2025-11-23 03:29:42
12395,-34.0485,141.0633,5.0,-40,140,-20,160,2025-11-23 03:29:42
10720,-35.0368,143.4895,4.0,-40,140,-20,160,2025-11-23 03:29:42
12539,-31.44747,152.87707,14.0,-40,140,-20,160,2025-11-23 03:29:42
13771,-29.620556,152.96333,7.0,-40,140,-20,160,2025-11-23 03:29:42
13793,-32.27159,150.8859,38.0,-40,140,-20,160,2025-11-23 03:29:42
12919,-33.1277,148.2439,10.0,-40,140,-20,160,2025-11-23 03:29:42
12386,-29.4897,149.8473,10.0,-40,140,-20,160,2025-11-23 03:29:42
13775,-36.907778,149.898889,11.0,-40,140,-20,160,2025-11-23 03:29:42
3264,-34.41706,150.8873,43.0,-40,140,-20,160,2025-11-23 03:29:42
5124,-21.1595,149.1549,28.0,-40,140,-20,160,2025-11-23 03:29:42
13046,-36.7784,144.300064,5.0,-40,140,-20,160,2025-11-23 03:29:42
14881,-27.535158,151.931893,11.0,-40,140,-20,160,2025-11-23 03:29:42
12391,-32.9786,141.489,6.0,-40,140,-20,160,2025-11-23 03:29:42
12393,-33.491,145.5242,5.0,-40,140,-20,160,2025-11-23 03:29:42
3234,-37.7784081,145.0306,40.0,-40,140,-20,160,2025-11-23 03:29:42
3243,-37.7064552,144.5669,38.0,-40,140,-20,160,2025-11-23 03:29:42
3261,-34.06657,150.7952,26.0,-40,140,-20,160,2025-11-23 03:29:42
12921,-34.4278,147.5117,8.0,-40,140,-20,160,2025-11-23 03:29:42
3240,-37.8220978,144.8471,20.0,-40,140,-20,160,2025-11-23 03:29:42
10723,-34.1747,142.2008,7.0,-40,140,-20,160,2025-11-23 03:29:42
13784,-33.107815,151.55256,22.0,-40,140,-20,160,2025-11-23 03:29:42
3271,-33.40192,149.5746,30.0,-40,140,-20,160,2025-11-23 03:29:42
12691,-36.73228,146.9702,8.0,-40,140,-20,160,2025-11-23 03:29:42
12417,-33.872468,151.213337,36.0,-40,140,-20,160,2025-11-23 03:29:42
13800,-27.7708,153.03,15.0,-40,140,-20,160,2025-11-23 03:29:42
12388,-30.0362,145.9521,10.0,-40,140,-20,160,2025-11-23 03:29:42
12397,-30.8517,143.0742,2.0,-40,140,-20,160,2025-11-23 03:29:42
12398,-30.981667,150.260556,35.0,-40,140,-20,160,2025-11-23 03:29:42
14897,-27.9535,153.3475,5.0,-40,140,-20,160,2025-11-23 03:29:42
3238,-37.7749672,145.3285,28.0,-40,140,-20,160,2025-11-23 03:29:42
12920,-34.2487,146.0695,7.0,-40,140,-20,160,2025-11-23 03:29:42
13783,-27.3292,153.0478,16.0,-40,140,-20,160,2025-11-23 03:29:42
5122,-23.8626,151.2705,26.0,-40,140,-20,160,2025-11-23 03:29:42
13792,-33.6016,142.5308,7.0,-40,140,-20,160,2025-11-23 03:29:42
8009,-38.1864662,146.258331,6.0,-40,140,-20,160,2025-11-23 03:29:42
3274,-35.104407,147.360512,34.0,-40,140,-20,160,2025-11-23 03:29:42
10718,-30.50851,151.66173,18.0,-40,140,-20,160,2025-11-23 03:29:42
12387,-30.0359,148.1231,13.0,-40,140,-20,160,2025-11-23 03:29:42
3237,-37.98576,145.1987,22.0,-40,140,-20,160,2025-11-23 03:29:42
12392,-34.443,142.889,5.0,-40,140,-20,160,2025-11-23 03:29:42
3255,-33.79515,150.7668,28.0,-40,140,-20,160,2025-11-23 03:29:42
13786,-35.6296,146.4752,7.0,-40,140,-20,160,2025-11-23 03:29:42
13773,-33.9384,147.1965,7.0,-40,140,-20,160,2025-11-23 03:29:42
13770,-35.5575,144.9458,4.0,-40,140,-20,160,2025-11-23 03:29:42
12487,-32.472333,151.091803,17.0,-40,140,-20,160,2025-11-23 03:29:42
3272,-31.109909,150.91451,33.0,-40,140,-20,160,2025-11-23 03:29:42
3248,-38.1942825,146.531464,45.0,-40,140,-20,160,2025-11-23 03:29:42
13774,-36.2225,149.1335,7.0,-40,140,-20,160,2025-11-23 03:29:42
14898,-27.8634,153.3257,7.0,-40,140,-20,160,2025-11-23 03:29:42
13795,-33.91618,151.0461,31.0,-40,140,-20,160,2025-11-23 03:29:42
12575,-33.27429,149.09447,36.0,-40,140,-20,160,2025-11-23 03:29:42
10726,-27.9612,153.4024,15.0,-40,140,-20,160,2025-11-23 03:29:42
12389,-32.0012,141.4694,4.0,-40,140,-20,160,2025-11-23 03:29:42
3265,-34.47442,150.8192,56.0,-40,140,-20,160,2025-11-23 03:29:42
3253,-33.91618,151.1358,31.0,-40,140,-20,160,2025-11-23 03:29:42
5123,-23.9408,151.3507,23.0,-40,140,-20,160,2025-11-23 03:29:42
12394,-33.0548,144.154,10.0,-40,140,-20,160,2025-11-23 03:29:42
12396,-29.4448,142.0568,8.0,-40,140,-20,160,2025-11-23 03:29:42
3257,-33.79425,150.9142,28.0,-40,140,-20,160,2025-11-23 03:29:42
3236,-37.9135475,144.998,35.0,-40,140,-20,160,2025-11-23 03:29:42
13768,-33.8447,148.65,10.0,-40,140,-20,160,2025-11-23 03:29:42
13788,-34.8254,147.5099,10.0,-40,140,-20,160,2025-11-23 03:29:42
13777,-34.705,146.514,7.0,-40,140,-20,160,2025-11-23 03:29:42
13772,-28.824444,153.256667,4.0,-40,140,-20,160,2025-11-23 03:29:42
3269,-32.79679,151.661,29.0,-40,140,-20,160,2025-11-23 03:29:42
5114,-27.4654,153.0872,16.0,-40,140,-20,160,2025-11-23 03:29:42
3263,-34.05169,150.498,23.0,-40,140,-20,160,2025-11-23 03:29:42
12489,-35.220606,149.043539,,-40,140,-20,160,2025-11-23 03:29:42
10721,-34.5348,144.8291,4.0,-40,140,-20,160,2025-11-23 03:29:42
12415,-35.1202,142.004,2.0,-40,140,-20,160,2025-11-23 03:29:42
12484,-32.885055,151.728351,51.0,-40,140,-20,160,2025-11-23 03:29:42
12390,-31.4837,145.8293,3.0,-40,140,-20,160,2025-11-23 03:29:42
12538,-34.73452,149.72416,28.0,-40,140,-20,160,2025-11-23 03:29:42
8519,-36.36926,146.3133,5.0,-40,140,-20,160,2025-11-23 03:29:42
12385,-34.4684,141.5728,7.0,-40,140,-20,160,2025-11-23 03:29:42
14871,-32.55748,151.1769,32.0,-40,140,-20,160,2025-11-23 03:29:42
13769,-33.0665,147.2283,7.0,-40,140,-20,160,2025-11-23 03:29:42
10145,-30.31842,149.82932,18.0,-40,140,-20,160,2025-11-23 03:29:42
13799,-27.7528,152.6509,11.0,-40,140,-20,160,2025-11-23 03:29:42
14869,-23.5208,148.165,35.0,-40,140,-20,160,2025-11-23 03:29:42
3273,-36.05182,146.9398,35.0,-40,140,-20,160,2025-11-23 03:29:42
3244,-37.9263153,144.7567,21.0,-40,140,-20,160,2025-11-23 03:29:42
13798,-27.4296,153.1581,15.0,-40,140,-20,160,2025-11-23 03:29:42
5119,-23.7744,151.1055,26.0,-40,140,-20,160,2025-11-23 03:29:42
5763,-21.9995,148.071,57.0,-40,140,-20,160,2025-11-23 03:29:42
12492,-35.285307,149.131579,,-40,140,-20,160,2025-11-23 03:29:42
12534,-30.29828,153.11811,15.0,-40,140,-20,160,2025-11-23 03:29:42
11986,-38.05712208629,175.77192840913,15.0,-40,160,-20,180,2025-11-23 03:29:42
11985,-37.649612622395,175.53579672352,9.0,-40,160,-20,180,2025-11-23 03:29:42
9300,-36.86,174.62,,-40,160,-20,180,2025-11-23 03:29:42
11983,-37.777543176927,175.28715904723,21.0,-40,160,-20,180,2025-11-23 03:29:42
3155,-22.314563888889,166.902925,3.0,-40,160,-20,180,2025-11-23 03:29:42
9303,-36.9,174.81,1.0,-40,160,-20,180,2025-11-23 03:29:42
12748,-36.84742808,174.7657304,21.0,-40,160,-20,180,2025-11-23 03:29:42
11989,-37.14049055416,175.54629322731,8.0,-40,160,-20,180,2025-11-23 03:29:42
3153,-22.278905555556,166.452925,17.0,-40,160,-20,180,2025-11-23 03:29:42
11988,-38.337795515174,175.16533761581,9.0,-40,160,-20,180,2025-11-23 03:29:42
11990,-38.221616742597,175.85843044074,17.0,-40,160,-20,180,2025-11-23 03:29:42
14878,-38.886175,175.271046,7.0,-40,160,-20,180,2025-11-23 03:29:42
11987,-38.691894931917,176.09117495496,21.0,-40,160,-20,180,2025-11-23 03:29:42
9302,-37.2,174.86,,-40,160,-20,180,2025-11-23 03:29:42
14879,-35.72673221,174.32424643,17.0,-40,160,-20,180,2025-11-23 03:29:42
