lat,lon,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,date
24.9117,118.5819,76,76.0,50.0,38.2,5.1,1.6,4.6,23.0,53.0,1021.0,1.5,13.0,,2025-11-23
24.9424,118.6663,65,65.0,43.0,34.6,7.4,1.6,4.6,23.0,53.0,1021.0,1.5,13.0,,2025-11-23
21.5233,109.1778,127,127.0,57.0,32.1,8.3,5.6,3.7,17.6,74.9,1019.8,1.0,13.1,99.1,2025-11-23
21.4661,109.0981,144,144.0,58.0,33.8,10.1,5.6,5.5,17.6,74.9,1019.8,1.0,13.1,99.1,2025-11-23
24.3663,109.3957,154,154.0,56.0,24.4,11.9,10.2,5.5,13.8,62.2,986.9,3.0,6.7,99.7,2025-11-23
23.3667,116.6794,147,147.0,72.0,30.9,19.7,11.2,8.2,22.0,49.0,1021.0,0.5,11.0,,2025-11-23
24.68636111,113.5970833,153,153.0,62.0,19.1,12.8,10.2,7.3,10.1,89.8,1009.5,1.0,8.5,,2025-11-23
24.3898,109.4883,153,153.0,61.0,28.1,6.4,12.2,3.7,13.8,62.2,986.9,3.0,6.7,99.7,2025-11-23
21.2028,110.4111,112,112.0,55.0,30.9,15.6,13.2,4.6,23.9,44.0,1014.8,3.0,10.9,99.2,2025-11-23
21.6533,110.9294,127,127.0,67.0,31.3,13.8,13.2,5.5,22.2,45.9,1005.1,2.0,10.0,99.4,2025-11-23
23.6714,116.6339,78,78.0,41.0,30.9,9.6,2.6,4.6,22.0,49.0,1021.0,0.5,11.0,,2025-11-23
21.2679,110.3316,127,127.0,54.0,35.8,11.9,14.2,6.4,23.9,44.0,1014.8,3.0,10.9,99.2,2025-11-23
24.288615,116.122239,91,91.0,53.0,12.6,14.2,5.6,6.4,22.0,49.0,1021.0,0.5,,,2025-11-23
22.786211,115.375279,74,74.0,41.0,35.0,5.1,3.6,4.6,18.4,66.7,1019.7,1.0,,,2025-11-23
19.5088,109.5037,82,82.0,46.0,38.6,4.6,3.6,4.5,19.8,83.9,998.9,1.0,17.0,,2025-11-23
18.7422,109.1777,55,55.0,19.0,38.2,1.9,2.6,3.8,27.0,57.0,1018.0,2.5,18.0,,2025-11-23
14.03742,100.605216,93,93.0,48.0,12.3,,2.2,0.1,25.8,11.8,1011.7,3.0,-6.0,99.0,2025-11-23
